ID; Bundesland; Stationsname; geoBreite; geoLaenge; Höhenlage[m]
3;Nordrhein-Westfalen;Aachen ;50,7827;6,0941;202
216;Nordrhein-Westfalen;Attendorn-Neulisternohl ;51,1143;7,8807;298
326;Nordrhein-Westfalen;Beckum-Unterberg ;51,7204;8,0577;120
389;Nordrhein-Westfalen;Berleburg, Bad-Arfeld ;51,0148;8,4318;436
390;Nordrhein-Westfalen;Berleburg, Bad-Stünzel ;50,9837;8,3683;610
554;Nordrhein-Westfalen;Bocholt-Liedern (Wasserwerk) ;51,8293;6,5365;23
555;Nordrhein-Westfalen;Bochum ;51,4789;7,2697;101
603;Nordrhein-Westfalen;Bonn-Roleber ;50,7349;7,1931;159
613;Nordrhein-Westfalen;Borgentreich ;51,5677;9,2324;206
617;Nordrhein-Westfalen;Borken in Westfalen ;51,873;6,8863;47
644;Nordrhein-Westfalen;Brakel ;51,7049;9,1738;150
796;Nordrhein-Westfalen;Burbach-Würgendorf ;50,7556;8,1257;413
871;Nordrhein-Westfalen;Coesfeld ;51,9618;7,1585;87
902;Nordrhein-Westfalen;Dahlem-Schmidtheim ;50,4115;6,5615;573
934;Nordrhein-Westfalen;Delbrück ;51,7835;8,5658;88
989;Nordrhein-Westfalen;Dinslaken ;51,5765;6,7849;53
1024;Nordrhein-Westfalen;Dormagen-Zons ;51,1157;6,851;37
1046;Nordrhein-Westfalen;Drensteinfurt ;51,7585;7,7528;72
1078;Nordrhein-Westfalen;Düsseldorf ;51,296;6,7686;37
1241;Nordrhein-Westfalen;Enger ;52,15;8,5226;128
1246;Nordrhein-Westfalen;Ennigerloh-Ostenfelde ;51,8418;8,0607;104
1300;Nordrhein-Westfalen;Eslohe ;51,254;8,1565;351
1303;Nordrhein-Westfalen;Essen-Bredeney ;51,4041;6,9677;150
1327;Nordrhein-Westfalen;Weilerswist-Lommersum ;50,7119;6,7905;147
1590;Nordrhein-Westfalen;Geldern-Walbeck ;51,4942;6,2463;37
1595;Nordrhein-Westfalen;Gelsenkirchen-Buer ;51,5762;7,0652;91
1766;Nordrhein-Westfalen;Münster/Osnabrück ;52,1344;7,6969;48
2027;Nordrhein-Westfalen;Harsewinkel ;51,9753;8,2094;63
2110;Nordrhein-Westfalen;Heinsberg-Schleiden ;51,0411;6,1042;57
2254;Nordrhein-Westfalen;Hörstel-Riesenbeck ;52,2396;7,6449;46
2473;Nordrhein-Westfalen;Jülich (Kläranlage) ;50,9316;6,3431;76
2483;Nordrhein-Westfalen;Kahler Asten ;51,1803;8,4891;839
2497;Nordrhein-Westfalen;Kall-Sistig ;50,5014;6,5264;505
2629;Nordrhein-Westfalen;Kleve ;51,7612;6,0954;46
2667;Nordrhein-Westfalen;Köln-Bonn ;50,8646;7,1575;92
2810;Nordrhein-Westfalen;Lage, Kreis Lippe-Hörste ;51,9446;8,7749;150
2947;Nordrhein-Westfalen;Lennestadt-Theten ;51,1333;8,0348;286
2968;Nordrhein-Westfalen;Köln-Stammheim ;50,9894;6,9777;43
2999;Nordrhein-Westfalen;Lienen-Kattenvenne ;52,1211;7,8699;55
3028;Nordrhein-Westfalen;Lippspringe, Bad ;51,7855;8,8388;157
3031;Nordrhein-Westfalen;Lippstadt-Bökenförde ;51,6336;8,3945;92
3081;Nordrhein-Westfalen;Espelkamp-Isenstedt ;52,3452;8,6477;65
3098;Nordrhein-Westfalen;Lüdenscheid ;51,2452;7,6425;387
3215;Nordrhein-Westfalen;Medebach-Berge ;51,1683;8,7125;375
3228;Nordrhein-Westfalen;Meinerzhagen (A) ;51,0976;7,667;506
3321;Nordrhein-Westfalen;Mönchengladbach-Hilderath ;51,1313;6,3609;77
3339;Nordrhein-Westfalen;Monschau-Kalterherberg ;50,5202;6,2083;535
3499;Nordrhein-Westfalen;Neuenrade-Blintrop ;51,2915;7,853;292
3540;Nordrhein-Westfalen;Neunkirchen-Seelscheid-Krawinkel ;50,8446;7,372;195
3591;Nordrhein-Westfalen;Nideggen-Schmidt ;50,6743;6,424;350
3795;Nordrhein-Westfalen;Olfen ;51,7066;7,3564;49
3913;Nordrhein-Westfalen;Petershagen ;52,3817;9,0176;43
4063;Nordrhein-Westfalen;Rahden-Kleinendorf ;52,4461;8,5906;41
4127;Nordrhein-Westfalen;Reichshof-Eckenhagen ;50,9906;7,6958;350
4150;Nordrhein-Westfalen;Reken-Groß Reken ;51,8118;7,0907;59
4154;Nordrhein-Westfalen;Remscheid-Lennep ;51,18;7,2505;345
4313;Nordrhein-Westfalen;Rüthen ;51,4966;8,4342;370
4368;Nordrhein-Westfalen;Salzkotten ;51,7098;8,5796;93
4371;Nordrhein-Westfalen;Salzuflen, Bad ;52,1042;8,7521;135
4400;Nordrhein-Westfalen;Sassendorf, Bad-Beusingsen ;51,5439;8,1808;171
4488;Nordrhein-Westfalen;Schmallenberg-Sellinghausen ;51,2127;8,2672;443
4692;Nordrhein-Westfalen;Siegen (Kläranlage) ;50,8534;7,9966;229
4741;Nordrhein-Westfalen;Solingen-Hohenscheid ;51,1402;7,093;154
4849;Nordrhein-Westfalen;Steinfurt-Burgsteinfurt ;52,1173;7,3411;64
5064;Nordrhein-Westfalen;Tönisvorst ;51,2897;6,4437;37
5347;Nordrhein-Westfalen;Warburg ;51,504;9,1118;236
5360;Nordrhein-Westfalen;Warstein-Hirschberg ;51,4319;8,2665;331
5468;Nordrhein-Westfalen;Wenden-Dörnscheid ;50,9377;7,8475;418
5480;Nordrhein-Westfalen;Werl ;51,5763;7,8879;85
5513;Nordrhein-Westfalen;Westerkappeln ;52,2902;7,8687;92
5619;Nordrhein-Westfalen;Wipperfürth-Gardeweg ;51,1636;7,4234;360
5699;Nordrhein-Westfalen;Wünnenberg-Eilern ;51,5427;8,7784;312
5717;Nordrhein-Westfalen;Wuppertal-Buchenhofen ;51,2256;7,1052;134
5719;Nordrhein-Westfalen;Remscheid ;51,2051;7,2;235
5733;Nordrhein-Westfalen;Xanten ;51,697;6,3974;20
6197;Nordrhein-Westfalen;Lügde-Paenbruch ;51,8664;9,2709;258
6264;Nordrhein-Westfalen;Brilon-Thülen ;51,414;8,65;457
6276;Nordrhein-Westfalen;Fröndenberg-Hohenheide ;51,4895;7,7813;235
6313;Nordrhein-Westfalen;Breckerfeld-Wengeberg ;51,2488;7,4672;440
6337;Nordrhein-Westfalen;Lüdinghausen-Brochtrup ;51,7663;7,5193;59
7106;Nordrhein-Westfalen;Bielefeld-Deppendorf ;52,0714;8,4565;105
7330;Nordrhein-Westfalen;Arnsberg-Neheim ;51,4634;7,978;159
7344;Nordrhein-Westfalen;Nettetal-Hülst ;51,2992;6,2013;45
7374;Nordrhein-Westfalen;Ahaus ;52,0814;6,941;46
7378;Nordrhein-Westfalen;Bedburg-Weiler Hohenholz ;51,0149;6,5173;101
13669;Nordrhein-Westfalen;Ostbevern-Schirlheide ;52,0087;7,852;55
13670;Nordrhein-Westfalen;Duisburg-Baerl ;51,5088;6,7018;24
13671;Nordrhein-Westfalen;Overath-Böke ;50,9655;7,2753;221
13696;Nordrhein-Westfalen;Waltrop-Abdinghof ;51,5966;7,4049;60
13700;Nordrhein-Westfalen;Gevelsberg-Oberbröking ;51,3329;7,3411;205
13713;Nordrhein-Westfalen;Meinerzhagen-Redlendorf ;51,0899;7,629;380
15000;Nordrhein-Westfalen;Aachen-Orsbach ;50,7983;6,0244;231
29;Bayern;Adelsdorf (Kläranlage) ;49,7175;10,9101;260
46;Bayern;Aholfing ;48,945;12,4639;325
73;Bayern;Aldersbach-Kriestorf ;48,6159;13,0506;340
103;Bayern;Hagelstadt ;48,896;12,217;364
118;Bayern;Altendorf ;49,4053;12,2852;391
130;Bayern;Altertheim-Oberaltertheim ;49,7283;9,7692;300
142;Bayern;Altomünster-Maisbrunn ;48,406;11,3117;510
146;Bayern;Altusried-Muthmannshofen ;47,7922;10,0988;730
151;Bayern;Amberg-Unterammersricht ;49,4691;11,8546;383
154;Bayern;Amerang-Pfaffing ;48,0197;12,2924;515
191;Bayern;Arnstein-Müdesheim ;49,9695;9,9113;220
205;Bayern;Aschau-Stein ;47,7274;12,2982;680
217;Bayern;Attenkam ;47,8774;11,3642;672
227;Bayern;Aufseß-Hochstahl ;49,8823;11,2656;432
232;Bayern;Augsburg ;48,4254;10,942;461
240;Bayern;Aura im Sinngrund ;50,1805;9,5743;287
275;Bayern;Balderschwang ;47,465;10,1043;1037
282;Bayern;Bamberg ;49,8742;10,9206;240
320;Bayern;Heinersreuth-Vollhof ;49,9667;11,5197;350
323;Bayern;Bechhofen/Mittelfranken -Voggendorf ;49,1626;10,5918;425
359;Bayern;Beratzhausen ;49,1023;11,7958;463
360;Bayern;Berching ;49,1115;11,4328;403
443;Bayern;Bernbeuren-Prachtsried ;47,7388;10,7448;936
522;Bayern;Bissingen (Kläranlage) ;48,7092;10,6283;425
589;Bayern;Bogen-Pfelling ;48,8848;12,7451;345
653;Bayern;Brannenburg-Degerndorf ;47,7241;12,1091;481
677;Bayern;Breitenbrunn-Fürbuch ;48,1266;10,3649;610
789;Bayern;Bütthard ;49,6064;9,8835;263
801;Bayern;Burgbernheim ;49,4472;10,326;350
807;Bayern;Schlüsselfeld (Kläranlage) ;49,745;10,6434;290
808;Bayern;Mehring, Kr. Altötting-Niederholz ;48,1869;12,8098;411
812;Bayern;Burgkunstadt ;50,1427;11,2322;276
814;Bayern;Pfarrweisach-Lohr (Pegel) ;50,1451;10,7066;270
856;Bayern;Chieming ;47,8843;12,5404;551
